frame,time_s,x,y,w,h,area
98,1.689655,394,182,24,24,358
99,1.706897,393,178,25,28,414
100,1.724138,393,181,25,26,412
101,1.741379,394,179,24,27,423
102,1.758621,394,178,30,28,523
103,1.775862,395,166,43,40,753
104,1.793103,395,166,44,41,816
105,1.810345,394,166,46,40,742
106,1.827586,398,166,44,40,741
107,1.844828,395,166,47,40,791
108,1.862069,394,165,48,41,874
109,1.87931,397,166,46,40,858
110,1.896552,397,166,45,40,798
111,1.913793,397,166,45,40,768
112,1.931034,397,166,45,39,728
113,1.948276,401,166,42,40,718
114,1.965517,401,166,41,39,687
115,1.982759,402,166,40,40,628
116,2.0,402,166,41,40,587
117,2.017241,409,166,33,34,483
118,2.034483,409,166,34,32,455
119,2.051724,410,166,33,32,459
240,4.137931,396,177,46,22,604
241,4.155172,395,177,47,22,611
242,4.172414,390,175,53,27,972
243,4.189655,391,175,51,27,939
244,4.206897,392,174,50,28,905
245,4.224138,393,175,49,23,644
246,4.241379,394,176,48,24,602
247,4.258621,394,177,47,23,517
248,4.275862,396,178,46,24,584
249,4.293103,399,180,43,22,566
250,4.310345,396,179,47,23,727
251,4.327586,396,179,47,23,745
252,4.344828,397,178,46,24,660
253,4.362069,397,178,46,24,629
254,4.37931,397,177,46,23,529
255,4.396552,397,176,46,24,615
256,4.413793,397,177,47,25,665
257,4.431034,414,180,29,22,446
258,4.448276,414,180,29,21,448
259,4.465517,414,180,29,22,458
260,4.482759,400,178,44,24,625
261,4.5,400,177,44,25,665
262,4.517241,405,178,39,24,540
263,4.534483,414,180,29,22,440
264,4.551724,411,180,32,22,474
265,4.568966,414,180,29,22,449
266,4.586207,400,178,44,24,602
267,4.603448,414,180,29,22,463
268,4.62069,414,180,29,20,404
269,4.637931,414,180,29,22,405
270,4.655172,414,180,29,22,405
271,4.672414,402,177,41,25,575
272,4.689655,414,179,30,22,456
273,4.706897,414,180,29,22,381
335,5.775862,411,194,26,20,394
336,5.793103,410,194,25,21,380
351,6.051724,404,197,27,19,360
352,6.068966,380,178,53,39,833
353,6.086207,404,197,28,19,356
354,6.103448,404,197,28,19,364
355,6.12069,390,184,42,32,539
356,6.137931,399,188,34,28,472
357,6.155172,404,197,29,20,381
358,6.172414,387,177,47,41,760
359,6.189655,393,181,41,37,665
360,6.206897,404,197,28,20,356
361,6.224138,404,197,27,21,364
362,6.241379,405,197,27,21,365
363,6.258621,390,185,42,33,633
364,6.275862,404,197,28,21,361
365,6.293103,391,184,42,34,653
366,6.310345,404,196,27,22,384
367,6.327586,405,197,26,21,358
1186,20.448276,347,167,22,22,362
1187,20.465517,347,167,22,23,374
1217,20.982759,346,163,22,30,370
1218,21.0,345,163,23,33,461
1219,21.017241,345,163,23,35,487
1220,21.034483,345,163,23,34,455
1221,21.051724,346,162,22,35,449
1222,21.068966,345,162,23,34,460
1223,21.086207,345,161,23,36,480
1224,21.103448,344,161,24,36,498
1225,21.12069,345,161,23,36,460
1226,21.137931,345,161,23,33,456
1227,21.155172,344,161,24,33,433
1228,21.172414,344,161,25,33,454
1229,21.189655,343,161,25,33,475
1230,21.206897,344,161,24,33,452
1231,21.224138,344,161,24,32,392
1232,21.241379,344,161,24,32,389
1233,21.258621,344,161,22,32,374
1234,21.275862,340,161,40,37,843
1235,21.293103,340,161,40,39,834
1236,21.310345,342,161,38,41,941
1237,21.327586,342,161,38,37,802
1238,21.344828,341,160,38,38,749
1239,21.362069,342,161,23,30,382
1240,21.37931,343,160,22,30,371
1241,21.396552,342,159,24,35,505
1242,21.413793,341,158,26,33,518
1243,21.431034,343,158,25,30,380
1244,21.448276,338,158,30,36,728
1245,21.465517,338,156,30,36,636
1246,21.482759,339,156,29,27,514
1247,21.5,339,156,28,31,545
1248,21.517241,342,156,26,29,419
1249,21.534483,341,156,27,22,396
1250,21.551724,341,155,26,23,391
1251,21.568966,342,155,25,23,376
1252,21.586207,342,155,24,23,362
1253,21.603448,336,154,31,40,686
1254,21.62069,342,154,25,24,379
1255,21.637931,342,153,25,25,392
1256,21.655172,342,142,25,32,516
1257,21.672414,342,142,26,30,506
1258,21.689655,342,142,26,30,519
1259,21.706897,342,142,26,31,540
1260,21.724138,342,142,26,33,554
1261,21.741379,342,142,25,31,521
1262,21.758621,342,142,25,32,545
1263,21.775862,342,142,25,31,533
1264,21.793103,342,142,25,31,530
1265,21.810345,342,142,25,31,518
1266,21.827586,342,142,25,30,495
1267,21.844828,342,142,26,30,507
1268,21.862069,342,142,26,29,496
1269,21.87931,342,142,25,29,503
1270,21.896552,342,142,25,29,505
1271,21.913793,342,142,25,29,482
1272,21.931034,342,142,25,29,483
1273,21.948276,342,142,25,28,464
1274,21.965517,343,142,24,28,469
1275,21.982759,342,142,26,28,496
1276,22.0,342,142,26,28,461
1277,22.017241,343,142,24,27,422
1278,22.034483,342,142,25,28,441
1279,22.051724,342,142,25,28,468
1280,22.068966,342,142,26,28,466
1281,22.086207,342,142,26,28,432
1282,22.103448,342,142,25,26,403
1283,22.12069,342,142,26,26,366
1553,26.775862,353,150,35,19,412
1554,26.793103,352,150,37,19,420
1555,26.810345,350,148,39,21,456
1556,26.827586,361,150,30,19,393
1557,26.844828,361,150,30,22,410
1558,26.862069,361,150,31,23,441
1559,26.87931,361,150,32,23,447
1560,26.896552,362,150,32,23,449
1561,26.913793,360,149,34,24,494
1562,26.931034,360,148,34,25,513
1563,26.948276,362,148,33,25,517
1564,26.965517,360,147,36,26,534
1565,26.982759,359,134,38,40,902
1566,27.0,359,134,39,38,927
1567,27.017241,360,134,39,38,1019
1568,27.034483,360,134,41,38,1066
1569,27.051724,358,134,44,37,1063
1570,27.068966,358,134,46,37,1116
1571,27.086207,358,134,46,36,1130
1572,27.103448,358,134,47,36,1121
1573,27.12069,357,134,50,36,1188
1574,27.137931,361,134,48,38,1245
1575,27.155172,361,134,49,39,1256
1576,27.172414,362,134,49,39,1268
1577,27.189655,363,132,49,42,1327
1578,27.206897,364,132,48,43,1351
1579,27.224138,366,133,46,42,1334
1580,27.241379,370,133,45,40,1295
1581,27.258621,371,133,43,39,1269
1582,27.275862,370,133,47,40,1310
1583,27.293103,370,132,47,41,1337
1584,27.310345,370,133,48,40,1344
