frame,time_s,x,y,w,h,area
867,14.948276,584,856,32,19,383
868,14.965517,583,858,32,18,375
891,15.362069,581,858,32,19,360
1670,28.793103,586,857,39,17,446
1671,28.810345,587,857,38,18,447
1672,28.827586,584,858,39,17,426
2223,38.327586,585,850,29,21,371
2224,38.344828,592,844,28,30,581
2225,38.362069,595,847,25,25,431
2230,38.448276,563,862,13,14,132
2231,38.465517,582,854,20,13,207
2232,38.482759,567,851,42,17,433
2233,38.5,582,851,19,15,224
2241,38.637931,582,851,28,19,326
2242,38.655172,576,848,36,22,428
2243,38.672414,577,849,33,20,386
2251,38.810345,582,850,23,17,286
2252,38.827586,569,847,43,23,576
2253,38.844828,584,851,18,14,190
2254,38.862069,564,860,12,14,119
2261,38.982759,570,851,41,19,459
2262,39.0,586,846,29,26,484
2263,39.017241,586,847,28,24,421
7212,124.344828,588,883,25,33,392
7213,124.362069,584,883,30,33,460
7214,124.37931,588,883,26,33,413
7215,124.396552,588,882,26,34,414
7216,124.413793,584,882,31,34,470
7217,124.431034,588,882,27,35,451
7218,124.448276,588,882,27,34,440
7219,124.465517,588,882,28,34,431
7220,124.482759,588,882,27,34,449
7221,124.5,588,882,28,34,446
7222,124.517241,588,882,28,33,434
7223,124.534483,588,881,29,34,492
7224,124.551724,588,881,29,35,501
7225,124.568966,588,881,30,34,489
7226,124.586207,588,880,30,36,535
7227,124.603448,588,880,32,40,587
7228,124.62069,588,880,32,36,538
7229,124.637931,588,881,32,35,538
7230,124.655172,588,881,32,35,554
7231,124.672414,590,881,30,35,492
7232,124.689655,590,881,30,35,506
7233,124.706897,590,881,31,34,514
7234,124.724138,589,881,32,35,548
7235,124.741379,589,881,32,34,514
7236,124.758621,590,881,32,34,507
7237,124.775862,590,881,31,35,539
7238,124.793103,589,876,31,40,578
7239,124.810345,590,874,31,42,551
7240,124.827586,589,876,33,40,577
7241,124.844828,590,874,31,43,610
7242,124.862069,591,875,30,41,563
7243,124.87931,591,874,31,42,522
7244,124.896552,591,874,31,42,526
7245,124.913793,591,874,31,41,490
7246,124.931034,592,874,31,41,469
7247,124.948276,594,874,28,41,433
7248,124.965517,594,874,29,41,421
7249,124.982759,594,874,28,41,445
7250,125.0,594,874,29,42,458
7251,125.017241,594,876,27,40,429
7252,125.034483,595,876,27,40,391
7253,125.051724,595,876,28,40,367
9791,168.810345,616,864,43,22,470
9792,168.827586,616,864,43,23,497
9793,168.844828,615,864,44,22,475
9794,168.862069,616,864,43,23,475
9795,168.87931,616,863,43,23,483
9796,168.896552,616,863,43,25,485
9797,168.913793,616,863,43,23,472
9798,168.931034,616,863,42,23,446
9799,168.948276,616,863,42,24,456
9800,168.965517,616,863,36,23,369
9801,168.982759,616,863,37,23,388
9802,169.0,616,863,37,23,398
9803,169.017241,616,863,36,22,360
10064,173.517241,599,865,21,23,364
10065,173.534483,598,865,22,23,393
10066,173.551724,597,865,22,23,397
10067,173.568966,596,865,23,23,408
10068,173.586207,596,865,23,23,407
10069,173.603448,596,865,22,23,404
10070,173.62069,596,865,22,23,406
10071,173.637931,596,865,22,22,394
10072,173.655172,596,865,22,23,406
10073,173.672414,595,865,23,23,418
10074,173.689655,595,865,23,23,417
10075,173.706897,594,866,24,22,427
10076,173.724138,593,866,25,22,436
10077,173.741379,592,866,26,22,460
10078,173.758621,590,866,28,22,493
10079,173.775862,590,867,27,21,467
10080,173.793103,590,867,27,21,461
10081,173.810345,590,867,27,21,461
10082,173.827586,590,867,27,22,473
10083,173.844828,590,867,27,21,464
10084,173.862069,590,867,27,21,464
10085,173.87931,590,867,27,21,468
10086,173.896552,590,867,27,21,465
10087,173.913793,590,867,26,21,459
10088,173.931034,590,867,26,21,463
10089,173.948276,589,867,27,22,483
10090,173.965517,589,867,27,21,476
10091,173.982759,589,867,27,21,471
10092,174.0,588,867,28,21,483
10093,174.017241,588,867,28,21,483
10094,174.034483,588,867,28,21,488
10095,174.051724,588,867,28,21,493
10096,174.068966,587,867,29,22,507
10097,174.086207,587,867,28,21,496
10098,174.103448,586,867,29,21,512
10099,174.12069,585,867,30,21,531
10100,174.137931,585,867,30,21,533
10101,174.155172,584,867,30,21,532
10102,174.172414,582,866,30,21,521
10103,174.189655,582,866,30,22,533
10104,174.206897,582,866,30,22,533
10105,174.224138,581,866,29,21,513
10106,174.241379,580,866,30,22,509
