frame,time_s,x,y,w,h,area
2311,39.844828,477,851,39,22,560
2312,39.862069,476,849,40,25,649
2313,39.87931,476,850,42,23,641
2314,39.896552,473,852,41,23,533
2315,39.913793,476,853,40,23,485
2316,39.931034,479,854,38,18,446
2317,39.948276,479,854,37,18,411
2318,39.965517,475,854,40,22,459
2319,39.982759,473,854,41,23,492
2320,40.0,474,855,38,24,501
2321,40.017241,474,855,37,22,408
2322,40.034483,469,855,41,36,745
2323,40.051724,474,854,37,23,449
2324,40.068966,473,852,38,26,526
2341,40.362069,462,865,22,28,382
2342,40.37931,459,864,27,39,587
2343,40.396552,462,861,33,42,705
2344,40.413793,458,863,37,40,716
2345,40.431034,462,865,22,29,392
2346,40.448276,460,865,24,29,422
2347,40.465517,460,865,24,29,406
2348,40.482759,462,865,22,29,382
2349,40.5,461,865,22,29,376
2350,40.517241,462,861,30,33,422
2351,40.534483,459,865,24,29,413
2352,40.551724,460,867,23,28,410
2353,40.568966,461,867,22,28,363
2354,40.586207,461,865,22,29,372
2355,40.603448,461,860,29,34,420
2356,40.62069,460,859,35,35,508
2357,40.637931,460,858,38,38,599
2358,40.655172,460,865,23,30,398
2359,40.672414,461,857,43,38,603
2360,40.689655,462,855,44,40,642
2361,40.706897,462,854,45,41,710
2362,40.724138,459,854,47,42,757
2363,40.741379,459,854,47,42,744
2364,40.758621,462,854,44,41,700
2365,40.775862,461,854,45,41,666
2366,40.793103,461,855,45,40,691
2367,40.810345,459,856,47,40,711
2368,40.827586,459,856,47,40,643
2369,40.844828,460,856,46,39,649
2370,40.862069,460,856,44,39,610
2371,40.87931,460,854,46,41,663
2372,40.896552,466,855,40,22,430
2576,44.413793,480,852,28,22,385
2608,44.965517,483,852,31,22,384
2609,44.982759,483,852,32,28,463
2610,45.0,483,852,31,22,403
2611,45.017241,482,852,31,22,410
2612,45.034483,473,848,38,30,669
2613,45.051724,467,850,43,29,705
2614,45.068966,470,851,40,28,582
2615,45.086207,478,852,29,25,415
2640,45.517241,450,863,26,27,437
2641,45.534483,450,864,25,25,386
2642,45.551724,451,865,24,24,371
2643,45.568966,448,865,28,38,682
2644,45.586207,450,865,25,24,368
2645,45.603448,448,864,28,26,449
2646,45.62069,448,865,27,25,427
2647,45.637931,449,865,26,23,380
2648,45.655172,448,864,26,26,411
2649,45.672414,448,865,27,25,411
2650,45.689655,447,864,28,26,464
2651,45.706897,447,864,28,26,463
2652,45.724138,449,864,26,25,411
2653,45.741379,448,864,27,26,421
2654,45.758621,448,864,27,25,414
2655,45.775862,447,863,29,27,473
2656,45.793103,447,864,28,26,451
2657,45.810345,449,864,26,26,413
2658,45.827586,448,864,27,25,406
2659,45.844828,448,864,27,25,401
2660,45.862069,448,863,28,26,435
2661,45.87931,447,864,28,25,436
2662,45.896552,448,864,27,26,406
2663,45.913793,448,865,27,24,373
2664,45.931034,447,865,29,24,488
2665,45.948276,448,865,27,25,371
2666,45.965517,447,864,28,26,399
2759,47.568966,475,856,39,18,358
2760,47.586207,473,856,41,18,384
2761,47.603448,440,872,27,28,431
2762,47.62069,442,872,25,28,385
2763,47.637931,473,856,41,18,359
