frame,time_s,x,y,w,h,area
192,3.310345,674,817,24,34,505
193,3.327586,673,817,26,32,531
426,7.344828,671,814,30,47,1010
427,7.362069,671,815,34,43,903
428,7.37931,673,829,27,28,563
429,7.396552,672,814,27,42,856
430,7.413793,671,815,30,43,915
431,7.431034,672,814,28,44,801
432,7.448276,673,828,26,29,550
433,7.465517,674,830,25,26,476
434,7.482759,674,814,25,42,807
435,7.5,671,828,30,29,630
436,7.517241,671,831,29,27,557
437,7.534483,671,813,34,45,1041
438,7.551724,670,814,35,43,1036
439,7.568966,671,813,34,45,1065
440,7.586207,671,828,28,28,558
441,7.603448,671,831,29,26,550
442,7.62069,671,814,34,48,1084
443,7.637931,671,814,33,44,1019
444,7.655172,671,814,33,44,1016
445,7.672414,674,830,25,26,487
446,7.689655,671,831,28,27,555
447,7.706897,671,814,33,48,1127
448,7.724138,671,814,30,44,963
449,7.741379,671,814,30,44,965
450,7.758621,670,814,34,44,1030
451,7.775862,674,831,25,26,521
3762,64.862069,688,804,21,27,360
3763,64.87931,688,804,21,29,386
3764,64.896552,671,803,42,46,918
3765,64.913793,687,804,22,28,363
3766,64.931034,688,803,21,28,362
3767,64.948276,687,803,23,28,397
3768,64.965517,687,802,24,32,480
3769,64.982759,686,802,24,29,429
3770,65.0,686,802,24,29,433
3771,65.017241,686,802,25,30,473
3772,65.034483,687,802,24,30,469
3773,65.051724,687,802,25,31,507
3774,65.068966,687,801,24,33,516
3775,65.086207,686,801,25,30,499
3776,65.103448,686,801,25,30,497
3777,65.12069,684,800,27,31,521
3778,65.137931,684,800,28,32,559
3779,65.155172,683,800,27,32,525
3780,65.172414,683,800,27,31,521
3781,65.189655,684,800,27,30,497
3782,65.206897,684,800,27,30,491
3783,65.224138,683,800,28,32,565
3784,65.241379,684,800,27,32,534
3785,65.258621,683,800,28,29,470
3786,65.275862,683,799,28,29,456
3814,65.758621,676,800,21,31,382
3815,65.775862,675,800,22,33,465
3816,65.793103,675,800,21,33,426
3817,65.810345,672,799,29,35,566
3818,65.827586,672,799,22,35,536
3819,65.844828,674,800,20,34,473
3820,65.862069,674,800,21,34,504
3821,65.87931,674,801,21,33,462
3835,66.12069,674,798,21,25,391
3836,66.137931,674,798,29,26,474
3837,66.155172,675,798,27,26,441
3858,66.517241,670,819,26,26,392
3859,66.534483,672,819,25,27,371
3860,66.551724,670,816,47,39,803
3861,66.568966,672,817,44,36,747
3862,66.586207,672,817,25,27,436
3863,66.603448,670,816,47,38,848
3864,66.62069,672,815,45,39,819
3865,66.637931,673,816,24,29,435
3866,66.655172,672,815,43,37,718
3867,66.672414,672,815,44,38,750
3868,66.689655,670,815,46,36,819
3869,66.706897,669,817,48,36,813
3870,66.724138,669,817,29,28,491
3871,66.741379,670,817,27,27,446
3872,66.758621,670,816,27,28,452
3873,66.775862,670,816,43,32,706
3874,66.793103,670,816,28,28,486
3875,66.810345,670,815,29,32,580
3876,66.827586,667,815,32,43,725
3877,66.844828,668,816,31,42,651
3878,66.862069,667,816,32,32,615
3879,66.87931,670,818,26,21,360
3880,66.896552,670,818,27,22,377
3881,66.913793,665,818,30,20,360
3972,68.482759,654,812,30,24,476
3973,68.5,655,811,32,30,675
3974,68.517241,656,812,28,25,427
3975,68.534483,654,811,30,28,626
3976,68.551724,657,813,27,27,448
3977,68.568966,656,813,27,23,358
3978,68.586207,656,812,28,25,513
3979,68.603448,656,812,28,26,472
3980,68.62069,656,813,27,21,358
3981,68.637931,654,811,31,26,561
3982,68.655172,654,811,31,25,581
3983,68.672414,656,811,28,23,397
3984,68.689655,651,811,34,27,566
3985,68.706897,655,811,29,22,427
3986,68.724138,654,811,30,22,448
3987,68.741379,655,811,30,21,441
3988,68.758621,656,811,28,18,357
3989,68.775862,654,808,32,28,598
3990,68.793103,654,808,32,26,535
3991,68.810345,657,809,28,21,386
3992,68.827586,649,809,36,27,516
