frame,time_s,x,y,w,h,area
298,5.137931,429,843,26,25,501
299,5.155172,430,843,25,26,470
300,5.172414,428,843,27,27,507
301,5.189655,429,846,25,22,326
302,5.206897,428,843,27,26,486
303,5.224138,430,844,24,22,371
304,5.241379,427,843,28,27,542
305,5.258621,430,843,25,27,461
306,5.275862,430,846,25,23,378
307,5.293103,429,843,26,27,513
308,5.310345,429,843,26,26,546
309,5.327586,427,843,29,29,658
310,5.344828,427,846,28,26,433
311,5.362069,427,844,28,27,553
312,5.37931,427,844,29,27,580
313,5.396552,427,840,29,30,669
314,5.413793,427,844,29,26,581
315,5.431034,426,844,30,30,682
316,5.448276,427,844,28,27,571
317,5.465517,430,845,25,24,429
318,5.482759,430,846,25,23,380
319,5.5,427,845,28,26,524
320,5.517241,427,845,29,26,553
321,5.534483,428,846,27,23,438
322,5.551724,429,847,26,23,468
323,5.568966,427,845,28,25,502
324,5.586207,427,844,30,27,595
325,5.603448,427,848,29,24,518
326,5.62069,427,846,29,32,719
327,5.637931,429,848,27,21,373
328,5.655172,427,845,29,25,466
329,5.672414,427,845,30,27,553
330,5.689655,425,845,33,32,726
331,5.706897,427,845,29,32,641
332,5.724138,427,845,29,29,566
333,5.741379,427,845,29,27,499
334,5.758621,427,844,30,29,569
335,5.775862,425,848,32,29,632
336,5.793103,427,849,30,28,506
337,5.810345,424,846,34,32,677
338,5.827586,424,840,34,39,835
339,5.844828,428,845,28,29,402
340,5.862069,426,845,32,32,521
341,5.87931,426,845,32,32,512
936,16.137931,461,824,21,24,397
937,16.155172,462,824,23,24,458
938,16.172414,460,824,26,25,518
939,16.189655,461,824,26,25,502
940,16.206897,458,824,30,26,568
941,16.224138,451,824,39,26,675
942,16.241379,451,824,41,28,807
943,16.258621,451,824,42,28,825
944,16.275862,451,824,43,27,728
945,16.293103,459,825,34,26,668
946,16.310345,457,825,36,27,675
947,16.327586,456,825,35,27,703
948,16.344828,454,825,36,28,737
949,16.362069,454,826,35,27,670
950,16.37931,454,826,35,27,656
951,16.396552,454,826,36,26,665
952,16.413793,452,826,38,27,726
953,16.431034,452,826,38,27,747
954,16.448276,452,826,38,27,710
955,16.465517,451,825,37,28,696
956,16.482759,451,825,39,28,724
957,16.5,451,825,38,28,729
958,16.517241,451,826,39,28,767
959,16.534483,451,826,39,28,732
960,16.551724,451,826,39,27,707
961,16.568966,451,826,39,27,720
962,16.586207,451,826,39,27,729
963,16.603448,450,827,40,27,794
964,16.62069,451,826,37,29,745
965,16.637931,451,827,39,27,728
966,16.655172,451,827,39,27,724
967,16.672414,451,827,37,27,707
968,16.689655,451,826,39,28,774
969,16.706897,452,827,38,28,750
970,16.724138,452,827,38,27,705
971,16.741379,451,827,39,27,696
972,16.758621,451,827,39,27,688
