frame,time_s,x,y,w,h,area
1762,30.37931,354,840,34,15,372
1763,30.396552,354,840,34,16,372
2301,39.672414,368,850,30,20,403
2302,39.689655,367,848,34,34,737
2303,39.706897,367,849,32,20,351
2304,39.724138,367,848,34,31,648
2305,39.741379,368,850,32,22,446
2306,39.758621,368,850,31,21,416
2387,41.155172,367,850,31,31,589
2388,41.172414,369,850,29,31,576
2389,41.189655,368,850,31,22,475
2390,41.206897,367,850,31,32,535
3527,60.810345,361,843,33,31,525
3528,60.827586,363,845,32,32,507
3529,60.844828,361,840,37,44,992
3530,60.862069,365,848,32,31,523
3531,60.87931,362,843,37,35,628
3532,60.896552,362,844,36,34,661
3533,60.913793,358,843,41,36,982
3534,60.931034,357,843,37,23,550
3535,60.948276,358,842,36,24,553
3536,60.965517,360,843,34,24,455
3594,61.965517,367,838,32,33,424
3595,61.982759,368,838,31,32,395
4244,73.172414,364,856,27,22,414
4259,73.431034,363,856,26,24,474
4260,73.448276,363,856,27,26,521
4263,73.5,362,856,28,26,531
4264,73.517241,363,856,25,21,425
4265,73.534483,365,868,20,9,132
4266,73.551724,362,856,26,31,600
4267,73.568966,363,856,25,24,441
4268,73.586207,362,856,25,25,443
4269,73.603448,363,856,23,23,423
4270,73.62069,362,856,24,25,460
4271,73.637931,363,856,23,25,363
4272,73.655172,361,856,27,26,519
4273,73.672414,361,856,25,25,502
4274,73.689655,360,853,32,30,675
4275,73.706897,363,856,23,24,356
4276,73.724138,363,856,23,25,375
4277,73.741379,361,856,25,25,438
4278,73.758621,362,856,24,24,396
4279,73.775862,361,852,30,29,607
4280,73.793103,362,856,24,25,422
4281,73.810345,361,856,25,26,488
4282,73.827586,361,856,25,26,482
4283,73.844828,360,856,31,26,594
4284,73.862069,360,850,31,34,691
4285,73.87931,360,857,29,25,497
4286,73.896552,360,857,30,29,655
4287,73.913793,360,850,31,38,794
4288,73.931034,360,857,31,28,634
4289,73.948276,360,851,31,33,622
4290,73.965517,360,858,30,25,563
4291,73.982759,360,858,26,27,468
4379,75.5,356,849,35,36,797
4380,75.517241,356,858,33,27,575
4405,75.948276,358,852,30,32,545
4463,76.948276,357,861,27,21,395
4464,76.965517,355,852,37,38,943
4465,76.982759,356,849,35,37,888
4466,77.0,357,858,26,23,409
4467,77.017241,357,857,26,23,391
4468,77.034483,356,855,29,29,580
4469,77.051724,356,858,28,27,522
4470,77.068966,356,847,34,39,873
4471,77.086207,356,849,34,37,843
4472,77.103448,356,847,36,37,795
4473,77.12069,355,847,38,38,838
4474,77.137931,354,848,36,40,956
4475,77.155172,356,848,30,40,843
4476,77.172414,356,848,29,36,728
4477,77.189655,356,848,29,36,730
4478,77.206897,357,857,26,22,382
5799,99.982759,348,856,34,17,372
5800,100.0,346,854,44,31,855
5801,100.017241,347,854,42,30,807
5802,100.034483,350,853,37,28,523
5803,100.051724,348,850,44,27,646
5804,100.068966,350,850,41,16,442
5805,100.086207,350,851,37,14,374
5806,100.103448,347,850,41,29,759
5807,100.12069,350,851,35,15,371
5808,100.137931,350,851,32,13,296
5809,100.155172,350,852,31,14,292
5810,100.172414,348,852,38,16,411
5811,100.189655,349,852,37,20,492
5812,100.206897,350,851,32,14,309
5813,100.224138,347,852,39,24,621
5814,100.241379,346,852,41,30,836
5815,100.258621,347,853,44,32,1010
5816,100.275862,346,853,47,35,1163
5817,100.293103,346,853,45,34,1119
5818,100.310345,347,852,43,32,1017
5819,100.327586,347,852,43,32,942
5820,100.344828,347,852,44,32,971
5821,100.362069,346,852,45,32,1057
5822,100.37931,346,853,43,32,1002
5823,100.396552,346,852,43,32,1016
5824,100.413793,346,852,44,33,1034
5825,100.431034,345,852,46,33,1114
5826,100.448276,345,852,48,35,1224
5827,100.465517,345,852,47,36,1237
5828,100.482759,345,852,46,35,1140
5829,100.5,345,852,46,33,1055
5830,100.517241,347,851,44,33,1057
5831,100.534483,346,851,47,33,1123
5832,100.551724,346,850,47,35,1219
5833,100.568966,346,851,46,35,1143
5834,100.586207,346,851,46,33,1136
5835,100.603448,346,849,45,35,1126
5836,100.62069,346,847,45,35,1110
5837,100.637931,348,846,41,35,1057
5838,100.655172,350,846,38,36,877
5839,100.672414,348,846,40,29,785
5840,100.689655,348,846,39,30,850
5841,100.706897,347,846,41,36,955
5842,100.724138,347,845,41,38,1075
5843,100.741379,347,845,41,38,1042
5844,100.758621,348,846,40,35,897
5845,100.775862,348,846,39,36,912
5846,100.793103,347,846,41,36,952
5847,100.810345,347,846,42,37,1090
5848,100.827586,346,846,42,38,1163
5849,100.844828,347,846,41,37,1043
5850,100.862069,350,844,39,37,950
5851,100.87931,351,844,40,30,879
5852,100.896552,350,843,41,34,964
5853,100.913793,347,844,43,39,1108
5854,100.931034,348,844,42,35,876
5855,100.948276,350,844,40,30,793
5856,100.965517,349,844,42,33,843
5857,100.982759,348,844,43,32,885
5858,101.0,349,844,41,32,831
5859,101.017241,350,843,41,33,784
5860,101.034483,350,843,40,32,768
5861,101.051724,350,843,41,32,728
5862,101.068966,353,842,38,18,468
5863,101.086207,353,842,38,18,472
5864,101.103448,352,843,39,17,464
5865,101.12069,352,843,39,18,465
5866,101.137931,352,843,39,18,458
5867,101.155172,352,843,38,17,449
5868,101.172414,354,841,36,17,431
5869,101.189655,352,842,37,18,442
5870,101.206897,351,843,38,18,440
5871,101.224138,351,843,39,18,441
5872,101.241379,352,842,40,17,460
5873,101.258621,354,841,40,18,478
5874,101.275862,355,841,39,17,460
5875,101.293103,360,838,34,17,429
5876,101.310345,359,838,35,17,450
5877,101.327586,359,839,35,16,420
5878,101.344828,360,838,34,17,392
7982,137.62069,351,845,61,37,762
7983,137.637931,352,845,60,38,915
7984,137.655172,352,845,61,36,915
9398,162.034483,356,848,35,25,498
9399,162.051724,354,846,37,17,436
9400,162.068966,356,847,36,23,438
9401,162.086207,358,846,38,15,376
9426,162.517241,356,846,41,16,422
9427,162.534483,356,846,41,15,413
9428,162.551724,356,846,52,14,507
9429,162.568966,356,846,61,12,522
9430,162.586207,356,846,52,12,468
9431,162.603448,355,846,62,13,557
9432,162.62069,355,846,52,14,411
9436,162.689655,375,846,32,12,220
9437,162.706897,374,850,23,8,147
9439,162.741379,374,845,43,13,335
9440,162.758621,355,844,65,14,571
9441,162.775862,354,843,66,15,617
9442,162.793103,358,844,60,13,433
9443,162.810345,358,843,62,15,542
9444,162.827586,358,843,65,15,611
9445,162.844828,358,842,65,16,625
