frame,time_s,x,y,w,h,area
40,0.689655,534,152,20,26,369
41,0.706897,533,150,21,27,395
42,0.724138,532,152,20,28,407
43,0.741379,530,147,52,34,898
44,0.758621,529,146,50,35,945
45,0.775862,547,147,26,25,357
46,0.793103,528,147,43,28,708
47,0.810345,526,145,44,29,750
48,0.827586,526,144,47,28,799
49,0.844828,526,144,46,28,761
50,0.862069,526,143,49,29,760
51,0.87931,524,143,51,29,784
52,0.896552,524,143,51,29,801
53,0.913793,524,142,48,30,729
54,0.931034,522,142,48,28,698
55,0.948276,522,142,48,28,720
56,0.965517,521,142,48,29,623
57,0.982759,520,143,49,27,587
798,13.758621,546,165,39,17,364
799,13.775862,545,164,41,19,469
800,13.793103,545,164,41,19,470
801,13.810345,546,164,40,18,400
802,13.827586,544,164,42,19,483
803,13.844828,545,164,41,19,476
804,13.862069,545,164,41,19,473
805,13.87931,545,164,41,19,486
806,13.896552,545,164,41,19,473
807,13.913793,545,164,41,19,454
808,13.931034,546,165,40,18,383
897,15.465517,542,165,36,16,380
898,15.482759,541,165,37,17,414
899,15.5,541,165,37,17,418
900,15.517241,541,165,36,17,411
901,15.534483,536,165,42,17,463
902,15.551724,542,165,36,17,401
903,15.568966,541,165,37,17,420
904,15.586207,541,165,37,17,421
905,15.603448,541,165,37,17,435
906,15.62069,541,165,37,17,423
907,15.637931,542,165,37,17,425
908,15.655172,536,165,44,18,508
909,15.672414,542,166,37,16,412
910,15.689655,538,166,41,17,461
911,15.706897,537,166,42,17,466
912,15.724138,537,166,41,17,471
913,15.741379,538,166,40,16,437
914,15.758621,537,166,41,16,445
915,15.775862,537,165,41,16,440
916,15.793103,538,166,40,15,408
917,15.810345,538,166,40,15,419
918,15.827586,537,166,41,15,428
919,15.844828,538,166,40,17,446
920,15.862069,538,166,40,16,435
921,15.87931,534,166,44,16,462
922,15.896552,512,166,66,25,885
923,15.913793,512,169,26,22,363
924,15.931034,538,167,41,14,415
925,15.948276,537,165,42,16,435
926,15.965517,542,166,37,15,387
927,15.982759,538,166,41,15,412
928,16.0,537,166,42,15,419
929,16.017241,537,166,42,16,425
930,16.034483,537,167,42,14,365
1191,20.534483,537,171,29,17,370
1192,20.551724,536,172,30,16,362
1193,20.568966,507,177,30,25,485
1194,20.586207,507,177,30,25,482
1195,20.603448,535,173,30,16,368
1196,20.62069,507,177,30,24,474
1197,20.637931,507,179,26,21,356
1198,20.655172,507,179,26,23,393
1199,20.672414,507,180,27,22,388
1200,20.689655,507,180,27,22,388
1201,20.706897,507,180,27,22,390
1202,20.724138,507,180,27,22,394
1203,20.741379,507,179,26,23,383
1204,20.758621,506,179,27,23,390
1205,20.775862,506,180,27,22,385
1206,20.793103,506,178,30,24,490
1207,20.810345,506,179,30,23,470
1208,20.827586,506,176,30,26,500
1209,20.844828,506,179,27,23,399
1210,20.862069,505,179,31,23,487
1211,20.87931,506,180,27,22,372
1212,20.896552,506,180,28,22,402
1213,20.913793,505,179,31,23,482
1214,20.931034,506,180,27,22,372
1263,21.775862,508,188,26,22,370
1264,21.793103,508,188,27,22,393
1265,21.810345,508,188,26,22,371
