frame,time_s,x,y,w,h,area
2091,36.051724,482,895,40,15,365
2092,36.068966,544,904,21,16,259
2093,36.086207,544,903,21,25,313
2094,36.103448,482,894,39,15,361
2095,36.12069,544,904,21,17,260
2096,36.137931,544,903,21,40,428
2097,36.155172,544,904,21,39,427
2098,36.172414,483,893,41,15,385
2099,36.189655,484,892,41,16,394
2100,36.206897,484,892,44,15,455
2101,36.224138,485,888,45,20,622
2102,36.241379,485,888,45,18,564
2103,36.258621,486,889,43,17,538
2104,36.275862,488,887,42,19,559
2105,36.293103,488,889,41,17,481
2106,36.310345,488,889,41,17,506
2107,36.327586,488,889,42,16,464
2108,36.344828,487,889,43,17,570
2109,36.362069,489,889,40,17,486
2110,36.37931,489,889,40,17,483
2111,36.396552,487,887,43,19,578
2112,36.413793,488,889,41,17,489
2113,36.431034,486,889,42,17,499
2114,36.448276,488,887,42,19,538
2115,36.465517,487,888,43,18,560
2116,36.482759,485,890,43,16,450
2117,36.5,488,889,41,16,439
2118,36.517241,484,888,46,18,550
2119,36.534483,486,890,43,16,435
2120,36.551724,486,890,42,16,432
2121,36.568966,488,888,41,18,471
2122,36.586207,486,889,44,17,449
2123,36.603448,489,889,41,16,418
2124,36.62069,489,889,41,16,438
2125,36.637931,486,888,45,18,518
2126,36.655172,490,888,40,17,463
2127,36.672414,498,888,32,14,370
2128,36.689655,488,886,43,18,482
2129,36.706897,498,888,32,18,360
2130,36.724138,486,886,46,40,781
2131,36.741379,486,886,45,20,542
2132,36.758621,488,888,42,18,418
2133,36.775862,482,888,49,22,520
2134,36.793103,488,887,42,23,480
2135,36.810345,488,886,43,17,442
2136,36.827586,485,887,46,17,420
2137,36.844828,486,887,45,17,401
2138,36.862069,482,884,50,20,527
2139,36.87931,486,888,44,16,383
2213,38.155172,482,884,54,18,659
2214,38.172414,480,884,56,18,687
2215,38.189655,481,883,55,19,667
2216,38.206897,481,884,53,18,550
2235,38.534483,481,885,53,17,490
2238,38.586207,481,890,17,10,127
2241,38.637931,482,882,56,19,628
2384,41.103448,483,899,27,23,396
2385,41.12069,481,901,43,20,459
2386,41.137931,481,899,29,23,454
2387,41.155172,484,897,24,27,390
2388,41.172414,488,898,19,14,179
2389,41.189655,491,899,16,13,155
2390,41.206897,486,903,21,23,271
2391,41.224138,485,900,51,26,679
2392,41.241379,483,899,26,26,399
2393,41.258621,483,899,31,27,486
2394,41.275862,482,902,40,20,449
2395,41.293103,482,903,28,18,359
2396,41.310345,483,899,29,26,470
2397,41.327586,483,900,26,26,384
2400,41.37931,489,913,16,14,137
2401,41.396552,489,914,15,13,122
2402,41.413793,482,899,30,26,483
2403,41.431034,480,899,54,25,757
2404,41.448276,481,898,44,24,641
2405,41.465517,482,897,42,24,570
2406,41.482759,481,897,51,24,662
2407,41.5,480,892,54,30,955
2408,41.517241,481,899,43,26,677
2409,41.534483,480,899,45,28,806
2410,41.551724,480,903,53,24,809
2411,41.568966,481,905,36,22,558
2412,41.586207,481,906,34,21,493
2413,41.603448,481,906,33,20,465
2414,41.62069,481,906,28,21,436
2415,41.637931,481,906,29,21,451
2416,41.655172,480,906,30,21,473
2417,41.672414,481,906,34,24,570
2439,42.051724,479,894,36,25,386
2440,42.068966,494,891,38,15,375
2452,42.275862,475,891,45,14,441
2453,42.293103,475,891,45,14,441
2490,42.931034,484,899,41,26,507
2491,42.948276,484,907,41,19,497
2492,42.965517,486,908,36,19,449
2493,42.982759,486,908,31,20,413
2494,43.0,486,909,30,19,400
2495,43.017241,484,909,32,19,404
2496,43.034483,484,909,30,18,379
2497,43.051724,486,909,39,18,406
2498,43.068966,484,899,44,29,710
2499,43.086207,486,904,41,24,497
2533,43.672414,482,906,44,19,510
2534,43.689655,481,895,55,30,809
2535,43.706897,482,895,54,32,703
2536,43.724138,481,901,47,25,483
2537,43.741379,480,907,38,19,423
2538,43.758621,480,903,50,24,647
2539,43.775862,483,908,34,19,391
2540,43.793103,486,908,40,23,521
2541,43.810345,486,910,33,22,441
2542,43.827586,486,910,31,22,417
2834,48.862069,481,889,38,15,386
2856,49.241379,495,885,38,17,366
