frame,time_s,x,y,w,h,area
64,1.103448,624,825,41,48,1157
65,1.12069,624,826,42,48,1224
66,1.137931,624,826,42,47,1186
67,1.155172,625,826,39,46,996
68,1.172414,625,826,39,43,813
69,1.189655,625,826,39,34,723
70,1.206897,625,826,39,46,1025
71,1.224138,628,826,36,34,660
72,1.241379,630,826,34,34,616
73,1.258621,630,828,34,32,552
74,1.275862,621,828,45,47,1182
75,1.293103,622,828,44,31,801
76,1.310345,643,829,21,29,364
77,1.327586,622,827,43,31,739
78,1.344828,628,824,34,31,514
79,1.362069,639,822,22,27,332
80,1.37931,625,819,35,59,907
81,1.396552,625,818,29,23,450
82,1.413793,623,816,31,25,552
83,1.431034,623,815,38,26,661
84,1.448276,623,814,37,27,695
85,1.465517,623,813,39,28,728
86,1.482759,623,812,51,29,839
87,1.5,623,811,50,30,845
88,1.517241,623,811,49,31,874
89,1.534483,623,811,49,31,853
90,1.551724,623,811,51,31,821
91,1.568966,623,810,51,32,844
92,1.586207,623,811,51,31,827
93,1.603448,623,811,51,27,742
94,1.62069,623,812,51,26,736
95,1.637931,623,812,51,26,691
96,1.655172,623,812,51,24,650
97,1.672414,623,812,51,24,631
98,1.689655,623,812,51,23,567
99,1.706897,623,812,51,23,559
100,1.724138,620,811,50,27,651
101,1.741379,620,812,34,26,438
305,5.258621,624,807,27,19,356
306,5.275862,622,807,32,27,576
307,5.293103,622,807,32,27,547
308,5.310345,619,807,35,27,604
309,5.327586,623,807,29,19,363
310,5.344828,620,807,34,26,551
311,5.362069,619,806,35,29,600
312,5.37931,622,808,30,19,362
372,6.413793,628,824,42,76,1671
373,6.431034,628,824,40,47,1114
374,6.448276,628,824,41,48,1164
375,6.465517,629,824,40,49,1091
376,6.482759,628,824,40,47,1029
377,6.5,628,824,38,62,1066
378,6.517241,628,824,37,48,860
379,6.534483,628,824,36,43,763
380,6.551724,628,824,43,43,794
381,6.568966,634,828,39,38,606
382,6.586207,634,827,40,39,618
383,6.603448,634,827,40,39,618
384,6.62069,635,827,39,39,607
385,6.637931,635,827,38,40,623
386,6.655172,635,827,37,39,621
387,6.672414,635,827,39,44,686
388,6.689655,635,827,38,44,673
389,6.706897,635,827,38,44,649
390,6.724138,635,827,38,44,659
391,6.741379,635,827,39,45,685
392,6.758621,636,827,38,44,648
393,6.775862,636,826,38,45,663
394,6.793103,635,827,39,44,664
395,6.810345,636,827,38,44,639
396,6.827586,636,827,38,44,649
397,6.844828,636,827,38,44,657
398,6.862069,635,827,34,44,605
399,6.87931,635,827,36,43,564
400,6.896552,635,827,35,40,536
401,6.913793,634,828,36,42,631
402,6.931034,647,827,26,37,379
696,12.0,657,868,25,36,550
697,12.017241,657,873,25,33,576
698,12.034483,657,878,20,29,477
699,12.051724,647,862,27,49,796
700,12.068966,646,882,28,27,486
701,12.086207,646,875,30,34,575
702,12.103448,655,875,22,33,486
703,12.12069,649,866,28,42,619
704,12.137931,649,865,26,43,614
705,12.155172,649,864,25,44,639
706,12.172414,649,864,25,44,630
707,12.189655,647,864,27,44,633
708,12.206897,649,865,25,42,586
709,12.224138,649,866,24,40,493
710,12.241379,649,866,24,32,399
711,12.258621,644,860,29,46,620
712,12.275862,654,866,19,37,422
713,12.293103,655,866,17,40,472
714,12.310345,650,866,23,40,562
715,12.327586,646,863,25,38,527
716,12.344828,646,863,25,35,501
717,12.362069,646,863,26,41,584
718,12.37931,646,862,27,44,758
719,12.396552,648,865,24,43,687
720,12.413793,648,865,22,43,619
721,12.431034,648,865,22,41,628
722,12.448276,647,868,22,37,575
723,12.465517,646,868,22,38,587
724,12.482759,646,869,20,37,506
725,12.5,648,876,18,30,413
726,12.517241,646,875,20,31,420
727,12.534483,646,877,19,29,380
728,12.551724,645,875,18,30,368
729,12.568966,642,873,22,37,509
730,12.586207,642,873,22,38,516
731,12.603448,643,874,21,30,424
732,12.62069,645,878,19,28,369
733,12.637931,646,877,20,30,397
773,13.327586,656,881,20,27,393
774,13.344828,656,881,20,27,392
775,13.362069,657,878,19,29,406
776,13.37931,654,870,23,39,607
777,13.396552,656,880,20,28,377
779,13.431034,657,870,22,36,444
780,13.448276,657,877,22,30,512
781,13.465517,657,877,22,31,498
782,13.482759,657,877,22,31,500
783,13.5,657,878,20,31,463
784,13.517241,656,880,18,30,387
785,13.534483,652,879,20,33,459
786,13.551724,643,869,23,43,519
787,13.568966,643,868,25,44,483
788,13.586207,642,902,22,13,176
789,13.603448,646,899,20,15,175
790,13.62069,648,878,23,35,397
791,13.637931,649,869,23,44,481
792,13.655172,653,877,19,33,481
793,13.672414,651,876,22,32,524
794,13.689655,651,876,21,31,498
795,13.706897,650,876,22,29,483
796,13.724138,650,876,23,26,432
797,13.741379,650,876,23,23,379
798,13.758621,650,876,23,25,402
799,13.775862,650,876,23,25,401
800,13.793103,649,876,23,23,383
801,13.810345,649,876,22,22,327
802,13.827586,649,876,21,24,348
803,13.844828,649,877,21,23,340
804,13.862069,647,877,20,23,326
805,13.87931,649,878,17,22,293
806,13.896552,649,877,22,24,395
807,13.913793,646,870,27,32,561
808,13.931034,646,875,27,28,522
809,13.948276,646,876,26,28,518
810,13.965517,648,876,23,28,479
811,13.982759,646,876,23,27,444
812,14.0,642,873,24,28,470
813,14.017241,644,872,21,29,434
814,14.034483,641,870,28,30,504
815,14.051724,647,871,18,26,341
816,14.068966,647,874,19,27,274
817,14.086207,646,875,20,27,295
818,14.103448,651,876,15,25,219
819,14.12069,652,871,16,27,285
820,14.137931,649,868,22,31,404
821,14.155172,646,870,25,30,452
822,14.172414,648,874,21,25,372
1356,23.37931,659,874,20,33,388
1357,23.396552,657,875,20,34,398
1358,23.413793,652,867,25,44,587
1359,23.431034,660,875,17,18,171
1360,23.448276,662,873,19,32,309
1361,23.465517,656,873,23,36,595
1362,23.482759,656,874,22,36,568
1363,23.5,654,874,23,36,557
1364,23.517241,655,878,21,33,511
1365,23.534483,654,881,18,31,392
1366,23.551724,654,882,17,31,368
1367,23.568966,654,878,18,34,443
1368,23.586207,654,878,20,34,485
1369,23.603448,654,878,20,33,468
1370,23.62069,654,876,20,35,471
1371,23.637931,654,878,20,33,458
1372,23.655172,654,878,20,33,442
1373,23.672414,654,878,19,33,434
1374,23.689655,654,878,19,33,448
1375,23.706897,654,878,20,33,456
1376,23.724138,654,881,12,31,250
1377,23.741379,655,886,11,26,187
1378,23.758621,654,878,16,35,388
1379,23.775862,649,867,22,46,502
1380,23.793103,646,866,24,47,684
1381,23.810345,648,872,21,38,566
1382,23.827586,647,872,21,38,522
1383,23.844828,646,874,19,35,437
1384,23.862069,647,875,17,34,398
1397,24.086207,647,863,25,44,650
1398,24.103448,646,863,23,44,662
1399,24.12069,646,868,20,36,416
1400,24.137931,643,866,22,38,446
1401,24.155172,646,867,18,36,357
1402,24.172414,646,867,20,36,373
1454,25.068966,658,884,18,27,357
1455,25.086207,654,873,22,38,480
1456,25.103448,648,882,24,31,428
1457,25.12069,647,894,21,18,224
1461,25.189655,646,846,15,25,218
1462,25.206897,659,873,23,34,529
1463,25.224138,654,869,28,39,594
1464,25.241379,654,870,29,37,588
1465,25.258621,654,872,28,36,518
1466,25.275862,654,873,28,36,472
1467,25.293103,660,881,21,28,371
1468,25.310345,660,881,20,30,408
1469,25.327586,658,883,19,30,405
1470,25.344828,658,883,19,29,382
1471,25.362069,656,890,14,23,212
1472,25.37931,647,898,21,18,198
1473,25.396552,656,891,14,21,184
1474,25.413793,654,894,16,18,169
1475,25.431034,645,840,11,20,147
1480,25.517241,654,875,23,37,537
1481,25.534483,658,878,19,33,413
1482,25.551724,658,883,19,28,362
1483,25.568966,658,883,19,29,360
1484,25.586207,654,875,24,38,484
1485,25.603448,652,887,21,27,324
1486,25.62069,654,887,21,26,335
1487,25.637931,659,874,19,38,454
1488,25.655172,661,875,16,16,147
1489,25.672414,648,859,34,50,643
1490,25.689655,659,875,23,35,498
1491,25.706897,659,876,22,35,466
1492,25.724138,660,878,20,33,425
1508,26.0,652,881,17,32,373
1521,26.224138,647,868,25,40,571
1522,26.241379,646,869,27,37,591
1523,26.258621,646,869,25,35,551
1524,26.275862,646,868,25,36,493
1525,26.293103,646,869,24,34,525
1526,26.310345,647,870,21,33,371
1527,26.327586,640,867,28,35,429
1528,26.344828,639,866,15,12,118
1529,26.362069,639,859,29,42,528
1530,26.37931,646,868,26,35,602
1531,26.396552,646,868,28,36,708
1532,26.413793,646,869,27,34,654
1533,26.431034,646,868,27,33,548
1534,26.448276,643,868,29,30,561
1535,26.465517,643,868,28,29,530
1536,26.482759,641,869,28,28,526
1537,26.5,638,877,25,23,428
1538,26.517241,638,877,24,23,389
1539,26.534483,638,876,25,22,388
1540,26.551724,641,875,30,25,490
1541,26.568966,636,869,38,33,756
1542,26.586207,635,868,39,35,782
1543,26.603448,639,868,32,35,567
1544,26.62069,644,869,24,36,508
1545,26.637931,646,879,22,26,395
1546,26.655172,634,865,34,38,640
1547,26.672414,636,868,33,34,592
1548,26.689655,644,876,24,22,375
1813,31.258621,628,871,29,39,494
1814,31.275862,628,869,31,42,564
1815,31.293103,629,870,33,41,564
1816,31.310345,631,872,27,38,506
1817,31.327586,632,870,25,38,450
1901,32.775862,624,861,19,35,380
1902,32.793103,624,860,19,35,382
1993,34.362069,625,816,25,24,368
1994,34.37931,625,817,24,23,356
1995,34.396552,625,816,25,24,380
1996,34.413793,625,816,24,24,369
1997,34.431034,624,817,27,24,486
1998,34.448276,625,816,25,25,439
1999,34.465517,625,816,24,24,356
2000,34.482759,625,816,24,24,368
2001,34.5,625,816,25,24,388
2002,34.517241,625,816,25,24,384
2003,34.534483,625,816,25,24,372
2004,34.551724,625,815,26,25,417
2005,34.568966,626,814,27,26,469
2006,34.586207,626,815,26,25,424
2007,34.603448,625,815,26,25,414
4053,69.87931,616,836,26,23,368
4054,69.896552,616,835,35,24,465
4055,69.913793,616,835,37,24,501
4056,69.931034,616,834,37,25,521
4057,69.948276,616,834,37,25,533
4058,69.965517,616,834,37,25,523
4059,69.982759,616,834,31,25,495
4060,70.0,616,834,29,25,470
4061,70.017241,616,834,31,25,496
4062,70.034483,615,834,37,29,574
4063,70.051724,615,834,34,25,562
4064,70.068966,615,834,33,25,514
4065,70.086207,615,834,33,25,489
4066,70.103448,615,834,27,25,440
4067,70.12069,615,834,27,25,444
4068,70.137931,616,834,26,25,431
4069,70.155172,616,834,26,25,426
4070,70.172414,615,834,27,25,421
4071,70.189655,616,834,26,25,411
4072,70.206897,616,834,26,25,442
4073,70.224138,616,833,26,25,441
4074,70.241379,616,833,34,25,470
4075,70.258621,616,833,26,25,418
4076,70.275862,616,833,26,25,397
4077,70.293103,615,832,28,26,452
4078,70.310345,616,832,33,26,481
4079,70.327586,615,832,28,26,447
4080,70.344828,615,832,27,26,438
4081,70.362069,615,832,27,22,366
4082,70.37931,650,898,17,31,368
4083,70.396552,648,898,20,30,408
4084,70.413793,649,898,18,31,379
4085,70.431034,649,898,18,30,368
4086,70.448276,649,898,18,29,367
4087,70.465517,648,898,24,29,421
4088,70.482759,648,898,26,29,529
4089,70.5,646,898,28,29,532
4090,70.517241,648,898,18,29,370
4091,70.534483,648,898,25,29,504
4092,70.551724,647,898,24,29,386
4093,70.568966,616,832,34,20,361
4118,71.0,620,830,38,36,554
4119,71.017241,620,829,37,37,618
4120,71.034483,620,829,38,37,629
4121,71.051724,620,829,37,37,582
4122,71.068966,619,830,38,36,549
4123,71.086207,619,830,38,36,617
4124,71.103448,619,829,38,37,519
4125,71.12069,620,829,37,37,579
4126,71.137931,620,829,37,37,589
4127,71.155172,619,829,38,37,568
4128,71.172414,619,828,38,38,597
4129,71.189655,618,827,51,65,1512
4130,71.206897,619,829,38,37,526
4131,71.224138,619,829,38,37,514
4132,71.241379,619,829,38,37,517
4133,71.258621,619,828,38,38,547
4134,71.275862,619,828,38,38,580
4135,71.293103,619,829,38,37,560
4136,71.310345,619,828,38,38,578
4137,71.327586,619,828,38,38,593
4138,71.344828,619,828,38,38,574
4139,71.362069,618,828,38,31,517
4140,71.37931,619,828,38,38,564
4141,71.396552,619,828,37,38,569
4142,71.413793,619,828,37,31,485
4143,71.431034,619,828,37,31,478
4144,71.448276,619,828,37,31,533
4145,71.465517,618,828,38,31,531
4146,71.482759,619,828,38,31,493
4147,71.5,619,828,38,31,471
4148,71.517241,619,830,38,30,481
4149,71.534483,619,830,37,29,412
4150,71.551724,619,830,37,29,405
4555,78.534483,630,830,33,35,475
4556,78.551724,628,829,35,36,489
4557,78.568966,629,829,39,54,642
4558,78.586207,629,829,38,54,616
4559,78.603448,629,829,33,36,440
4560,78.62069,629,829,34,36,478
4561,78.637931,629,829,33,36,449
4562,78.655172,629,831,33,34,385
4563,78.672414,628,831,34,34,415
4564,78.689655,636,831,26,34,377
4565,78.706897,634,830,34,53,669
4566,78.724138,636,831,32,52,569
4567,78.741379,636,833,32,51,575
4568,78.758621,634,833,36,51,556
4569,78.775862,634,833,34,51,584
4570,78.793103,628,830,40,54,638
4571,78.810345,632,832,36,52,623
4572,78.827586,629,831,34,34,483
4573,78.844828,632,832,30,33,383
4574,78.862069,636,831,26,34,374
4819,83.086207,622,824,31,33,361
4820,83.103448,622,823,31,34,437
4821,83.12069,622,824,32,29,390
4822,83.137931,620,822,43,62,1258
4823,83.155172,620,822,43,60,1311
4824,83.172414,622,823,31,32,411
4825,83.189655,620,823,43,59,1239
4826,83.206897,620,823,43,59,1204
4827,83.224138,620,822,42,60,1206
4828,83.241379,620,822,48,60,1175
4829,83.258621,620,822,42,60,1196
4830,83.275862,620,822,48,61,1376
4831,83.293103,620,822,33,31,504
5652,97.448276,608,842,32,33,464
5653,97.465517,608,843,31,35,483
5654,97.482759,609,849,34,31,519
5655,97.5,611,848,22,12,162
5657,97.534483,662,885,15,27,253
5658,97.551724,660,885,17,28,315
5659,97.568966,659,884,18,29,367
5660,97.586207,649,876,28,38,491
5661,97.603448,643,875,34,45,876
5662,97.62069,613,824,26,26,385
5663,97.637931,613,823,27,27,425
5664,97.655172,613,822,34,28,590
5665,97.672414,614,821,33,29,636
5666,97.689655,613,821,34,29,642
5667,97.706897,613,821,37,29,670
5668,97.724138,614,820,36,30,668
5669,97.741379,614,820,37,30,675
5670,97.758621,614,820,38,29,682
5671,97.775862,614,819,38,30,688
5672,97.793103,614,819,38,30,687
5673,97.810345,614,819,38,30,695
5674,97.827586,614,819,38,30,676
5675,97.844828,614,818,39,31,707
5676,97.862069,614,818,38,31,715
5677,97.87931,614,819,37,30,604
5678,97.896552,613,820,39,29,604
5679,97.913793,613,820,40,29,614
5680,97.931034,613,820,39,30,682
5681,97.948276,613,820,39,29,682
5682,97.965517,613,819,39,30,710
5683,97.982759,613,819,39,30,691
5684,98.0,613,818,39,30,686
5685,98.017241,613,818,40,30,640
5686,98.034483,612,818,41,30,667
