frame,time_s,x,y,w,h,area
9,0.155172,612,324,36,24,380
10,0.172414,611,323,36,26,422
11,0.189655,609,321,37,32,553
12,0.206897,607,321,36,27,412
13,0.224138,607,319,35,30,592
14,0.241379,609,317,34,30,646
15,0.258621,609,315,34,28,449
16,0.275862,608,313,36,31,511
17,0.293103,608,310,38,33,545
18,0.310345,607,308,40,38,587
19,0.327586,606,306,62,53,1204
20,0.344828,604,304,64,53,1178
21,0.362069,603,303,63,40,1201
22,0.37931,603,303,34,30,444
23,0.396552,602,300,32,24,377
24,0.413793,601,298,41,30,624
25,0.431034,600,295,42,32,687
26,0.448276,599,293,41,30,732
27,0.465517,599,291,41,30,681
28,0.482759,599,288,40,36,797
29,0.5,600,287,39,37,834
30,0.517241,600,285,38,36,836
31,0.534483,600,282,37,38,877
32,0.551724,600,280,37,40,863
33,0.568966,600,277,37,34,784
34,0.586207,600,275,36,34,845
35,0.603448,599,273,38,35,834
36,0.62069,599,272,36,34,738
37,0.637931,598,270,36,33,726
38,0.655172,596,270,38,32,730
39,0.672414,596,268,32,32,659
40,0.689655,595,267,32,28,613
41,0.706897,594,266,32,26,574
42,0.724138,594,264,32,27,584
43,0.741379,593,263,34,31,625
44,0.758621,592,262,39,31,714
45,0.775862,592,260,39,30,673
46,0.793103,592,259,39,31,646
47,0.810345,592,258,39,31,631
48,0.827586,591,257,38,31,695
49,0.844828,591,256,31,26,580
50,0.862069,590,254,31,25,582
51,0.87931,590,251,38,32,780
52,0.896552,589,248,38,34,823
53,0.913793,588,247,38,33,843
54,0.931034,588,243,40,37,934
55,0.948276,587,242,44,36,946
56,0.965517,587,241,67,36,1102
57,0.982759,586,238,36,36,872
58,1.0,585,235,36,38,911
59,1.017241,584,233,40,38,960
60,1.034483,584,230,39,38,979
61,1.051724,583,228,39,40,1017
62,1.068966,582,226,39,40,1017
63,1.086207,582,225,38,40,1011
64,1.103448,583,222,38,43,1046
65,1.12069,583,222,38,43,1028
66,1.137931,583,219,38,44,1075
67,1.155172,584,215,37,45,1107
68,1.172414,583,214,50,59,1256
69,1.189655,582,211,39,46,1149
70,1.206897,582,210,38,47,1125
71,1.224138,582,208,38,45,1116
72,1.241379,581,206,36,43,1063
73,1.258621,580,204,37,42,1060
74,1.275862,579,203,40,43,1168
75,1.293103,578,199,43,45,1235
76,1.310345,578,197,44,53,1330
77,1.327586,577,195,52,57,1469
78,1.344828,577,194,55,59,1502
79,1.362069,577,191,56,59,1433
80,1.37931,577,190,55,60,1406
81,1.396552,577,188,52,58,1397
82,1.413793,578,185,50,58,1390
83,1.431034,577,183,52,59,1384
84,1.448276,578,182,39,48,1251
85,1.465517,576,179,50,58,1362
86,1.482759,575,177,43,51,1329
87,1.5,575,175,39,53,1300
88,1.517241,574,174,44,51,1274
89,1.534483,574,172,39,52,1235
90,1.551724,572,170,37,50,1186
91,1.568966,571,167,39,51,1271
92,1.586207,571,166,40,52,1343
93,1.603448,570,163,43,54,1405
94,1.62069,570,161,44,52,1404
95,1.637931,569,160,47,52,1416
96,1.655172,568,158,49,54,1427
97,1.672414,568,156,50,56,1514
98,1.689655,568,154,50,56,1489
99,1.706897,568,153,51,57,1484
100,1.724138,567,150,51,60,1526
