frame,time_s,x,y,w,h,area
3844,66.275862,466,908,29,24,392
3845,66.293103,508,836,15,17,198
3846,66.310345,504,836,17,17,201
3847,66.327586,509,836,13,17,171
3848,66.344828,465,909,30,24,463
3849,66.362069,509,838,14,14,155
3850,66.37931,509,838,13,14,141
3851,66.396552,466,908,30,24,444
3852,66.413793,509,834,16,18,227
3853,66.431034,509,834,16,18,226
3854,66.448276,509,835,17,17,233
3855,66.465517,464,909,31,24,480
3856,66.482759,466,908,30,25,483
3857,66.5,466,908,29,25,476
3858,66.517241,466,907,31,26,518
3859,66.534483,467,912,28,21,363
3860,66.551724,510,835,16,16,195
3861,66.568966,510,835,16,16,192
3862,66.586207,465,913,32,21,439
3863,66.603448,471,911,26,22,372
3864,66.62069,468,911,28,22,393
3865,66.637931,465,908,33,26,578
3866,66.655172,462,909,35,28,597
3867,66.672414,463,908,34,28,569
3868,66.689655,467,911,28,22,403
3869,66.706897,462,911,34,25,504
3870,66.724138,511,832,18,18,218
3871,66.741379,467,911,26,23,363
3872,66.758621,466,910,31,24,518
3873,66.775862,462,911,32,25,483
3874,66.793103,467,910,29,22,402
3875,66.810345,467,910,28,23,446
3876,66.827586,462,911,34,25,574
3877,66.844828,465,910,31,24,511
3878,66.862069,467,910,29,23,468
3879,66.87931,465,908,31,25,491
3880,66.896552,462,908,34,28,562
3881,66.913793,465,909,31,24,519
3882,66.931034,464,908,32,25,495
3883,66.948276,462,908,34,28,553
3884,66.965517,466,908,30,25,472
3885,66.982759,467,908,28,25,415
8588,148.068966,476,910,29,24,399
8589,148.086207,475,910,32,25,478
8590,148.103448,475,910,32,24,452
8591,148.12069,475,910,32,24,469
8592,148.137931,475,910,33,25,487
8593,148.155172,475,910,32,25,481
8594,148.172414,475,910,33,25,491
8595,148.189655,475,910,32,24,460
8596,148.206897,475,910,32,24,469
8597,148.224138,476,910,31,24,454
8598,148.241379,475,910,33,24,469
8599,148.258621,475,910,33,24,484
8600,148.275862,475,910,31,24,475
8601,148.293103,475,911,31,24,470
8602,148.310345,475,910,30,25,469
8603,148.327586,474,909,31,26,493
8604,148.344828,475,910,32,25,494
8605,148.362069,475,910,30,25,464
8606,148.37931,474,909,32,26,489
8607,148.396552,474,910,31,25,482
8608,148.413793,475,910,30,25,467
8609,148.431034,474,909,32,26,491
8610,148.448276,474,909,32,26,508
8611,148.465517,476,909,30,26,414
8612,148.482759,477,909,31,26,442
8613,148.5,477,909,31,26,435
8614,148.517241,477,910,30,25,398
8615,148.534483,475,909,33,26,463
8616,148.551724,477,910,30,24,368
8617,148.568966,475,909,32,25,422
8618,148.586207,477,911,29,24,363
8619,148.603448,477,911,29,24,357
8620,148.62069,476,910,31,25,395
8621,148.637931,476,911,30,24,386
8622,148.655172,474,908,34,29,484
8623,148.672414,474,910,33,27,443
8624,148.689655,475,910,32,22,388
9581,165.189655,478,911,28,26,375
9582,165.206897,466,907,43,30,809
9583,165.224138,465,909,43,28,779
9584,165.241379,466,906,43,31,823
9585,165.258621,465,910,43,28,759
9586,165.275862,466,910,39,28,645
9587,165.293103,466,910,40,27,636
9588,165.310345,472,911,29,26,378
9589,165.327586,465,909,43,29,607
9590,165.344828,464,912,44,26,606
9591,165.362069,472,912,29,25,383
9592,165.37931,466,912,35,25,499
13385,230.775862,467,908,38,30,614
13386,230.793103,463,908,42,30,668
13387,230.810345,463,908,41,30,677
13388,230.827586,463,907,41,31,689
13389,230.844828,462,907,41,31,741
13390,230.862069,463,904,40,34,740
13391,230.87931,463,907,40,31,690
13392,230.896552,463,907,40,31,676
13393,230.913793,462,906,41,31,676
13394,230.931034,461,906,40,30,688
13395,230.948276,462,907,41,29,660
13396,230.965517,463,906,40,29,665
13397,230.982759,462,905,42,30,674
13398,231.0,462,905,35,30,490
13399,231.017241,462,906,35,29,467
13400,231.034483,462,906,35,29,451
13401,231.051724,460,906,37,29,503
13402,231.068966,462,906,35,29,450
