frame,time_s,x,y,w,h,area
5,0.086207,481,558,43,20,433
6,0.103448,476,558,20,26,352
7,0.12069,472,558,39,29,602
8,0.137931,468,554,23,23,370
9,0.155172,466,555,21,25,344
10,0.172414,462,554,23,29,455
11,0.189655,460,554,21,28,390
12,0.206897,455,551,45,30,715
13,0.224138,452,550,43,28,625
14,0.241379,448,548,42,22,469
15,0.258621,446,547,52,25,651
16,0.275862,443,546,69,39,1027
17,0.293103,440,548,30,26,409
18,0.310345,436,548,73,38,1461
19,0.327586,434,546,65,40,1410
20,0.344828,432,547,35,27,502
21,0.362069,430,547,28,29,514
22,0.37931,428,547,33,29,521
23,0.396552,426,548,64,37,1173
24,0.413793,423,547,24,30,459
25,0.431034,421,548,64,37,1407
26,0.448276,419,550,65,36,1497
27,0.465517,416,548,65,38,1572
28,0.482759,406,551,73,34,1633
29,0.5,409,553,64,32,1567
30,0.517241,406,552,63,32,1510
31,0.534483,403,553,60,32,1458
32,0.551724,395,555,67,39,1377
33,0.568966,398,556,52,36,1375
34,0.586207,397,557,53,37,1400
35,0.603448,394,559,53,35,1363
36,0.62069,393,562,51,34,1221
37,0.637931,391,563,51,34,1147
38,0.655172,378,564,64,35,1350
39,0.672414,378,567,66,34,1472
40,0.689655,383,569,58,33,1379
41,0.706897,380,570,58,35,1411
42,0.724138,377,571,56,36,1397
43,0.741379,367,572,64,44,1479
44,0.758621,369,574,60,42,1461
45,0.775862,370,576,52,38,1331
46,0.793103,367,576,50,42,1342
47,0.810345,358,578,58,40,1317
48,0.827586,352,580,62,41,1371
49,0.844828,353,584,63,42,1498
50,0.862069,355,587,55,42,1345
51,0.87931,355,588,53,42,1289
52,0.896552,361,590,44,43,1288
53,0.913793,355,591,50,50,1348
54,0.931034,352,592,51,50,1371
55,0.948276,353,595,47,48,1333
56,0.965517,355,597,45,46,1281
57,0.982759,354,598,44,44,1255
58,1.0,344,600,52,44,1340
59,1.017241,344,601,50,44,1319
60,1.034483,329,604,65,56,1580
61,1.051724,331,606,61,54,1417
62,1.068966,332,606,58,54,1379
63,1.086207,334,609,52,44,1251
64,1.103448,342,611,44,46,1237
65,1.12069,342,614,40,49,1227
66,1.137931,336,616,45,59,1460
67,1.155172,334,617,44,59,1514
68,1.172414,337,618,39,59,1484
69,1.189655,337,619,37,59,1434
70,1.206897,326,625,49,64,1574
71,1.224138,327,629,46,63,1490
72,1.241379,326,632,46,62,1453
73,1.258621,335,634,35,61,1405
74,1.275862,339,640,31,58,1335
75,1.293103,339,641,31,60,1334
76,1.310345,337,644,33,65,1434
77,1.327586,340,646,29,61,1351
78,1.344828,340,649,29,61,1373
79,1.362069,333,651,35,61,1426
80,1.37931,328,654,39,60,1473
81,1.396552,330,658,37,61,1412
82,1.413793,334,665,34,60,1410
83,1.431034,336,667,31,60,1402
84,1.448276,336,670,31,60,1390
85,1.465517,336,671,30,63,1413
86,1.482759,335,675,30,63,1396
87,1.5,326,678,38,64,1467
88,1.517241,326,681,39,64,1479
89,1.534483,326,685,36,63,1418
90,1.551724,326,688,36,62,1415
91,1.568966,326,689,36,64,1566
92,1.586207,325,691,37,62,1479
93,1.603448,327,691,35,60,1421
94,1.62069,326,690,36,61,1409
95,1.637931,326,690,36,61,1378
96,1.655172,327,691,35,59,1322
97,1.672414,330,691,32,60,1259
98,1.689655,329,692,33,60,1275
99,1.706897,326,694,34,58,1275
100,1.724138,319,696,41,59,1383
101,1.741379,318,697,41,61,1414
102,1.758621,321,698,36,61,1340
103,1.775862,327,704,31,58,1221
104,1.793103,324,705,33,60,1241
105,1.810345,318,707,36,61,1291
106,1.827586,314,710,40,61,1322
107,1.844828,314,712,40,62,1301
108,1.862069,318,714,33,62,1309
109,1.87931,317,718,32,60,1397
110,1.896552,311,721,38,62,1430
111,1.913793,318,726,31,61,1372
112,1.931034,318,729,28,62,1322
113,1.948276,318,734,28,62,1317
