frame,time_s,x,y,w,h,area
42,0.724138,284,162,22,24,364
43,0.741379,283,160,26,25,411
44,0.758621,287,160,26,26,476
45,0.775862,281,160,35,30,642
46,0.793103,282,159,37,30,658
47,0.810345,281,158,40,31,711
48,0.827586,284,157,40,31,757
49,0.844828,286,157,41,31,765
50,0.862069,290,156,39,38,847
51,0.87931,278,155,55,46,1003
52,0.896552,278,154,56,48,1016
53,0.913793,299,154,37,30,755
54,0.931034,302,153,36,33,772
55,0.948276,305,152,35,32,709
56,0.965517,306,152,38,34,779
57,0.982759,309,151,37,31,768
58,1.0,316,150,32,32,751
59,1.017241,312,150,37,36,806
60,1.034483,314,148,37,40,870
61,1.051724,302,147,53,49,1031
62,1.068966,305,146,52,50,1060
63,1.086207,307,146,53,50,1021
64,1.103448,310,146,52,49,985
65,1.12069,310,147,54,50,1124
66,1.137931,312,146,57,48,1308
67,1.155172,313,146,60,43,1329
68,1.172414,318,145,60,36,1164
69,1.189655,319,144,62,39,1287
70,1.206897,322,143,62,43,1373
71,1.224138,330,143,60,41,1393
72,1.241379,331,143,63,47,1464
73,1.258621,341,143,57,39,1325
74,1.275862,342,142,59,42,1416
75,1.293103,342,143,60,41,1422
76,1.310345,342,143,63,35,1356
77,1.327586,334,142,73,58,1672
78,1.344828,350,142,62,46,1416
79,1.362069,354,142,61,43,1475
80,1.37931,354,142,64,45,1546
81,1.396552,362,142,59,40,1557
82,1.413793,360,142,65,44,1637
83,1.431034,357,142,73,47,1883
84,1.448276,359,142,75,50,2016
85,1.465517,365,142,72,46,1809
86,1.482759,374,142,65,47,1628
87,1.5,371,143,71,47,1716
88,1.517241,387,144,59,36,1423
89,1.534483,393,146,57,31,1287
90,1.551724,390,145,65,33,1397
91,1.568966,382,148,76,41,1587
92,1.586207,388,149,75,37,1686
93,1.603448,392,151,74,35,1666
94,1.62069,406,152,63,41,1509
95,1.637931,409,153,63,32,1465
96,1.655172,410,153,66,40,1614
97,1.672414,422,153,57,33,1458
98,1.689655,424,157,62,29,1420
99,1.706897,416,157,75,37,1729
100,1.724138,428,157,67,32,1597
101,1.741379,430,157,70,32,1627
