frame,time_s,x,y,w,h,area
16,0.275862,414,340,28,20,371
17,0.293103,413,346,28,19,367
18,0.310345,410,326,51,44,809
19,0.327586,410,327,52,43,783
20,0.344828,410,327,51,45,810
21,0.362069,414,334,47,42,762
22,0.37931,419,338,40,38,490
23,0.396552,424,339,35,40,638
24,0.413793,430,341,30,41,705
25,0.431034,434,341,27,42,773
26,0.448276,438,341,26,45,793
27,0.465517,439,342,35,46,863
28,0.482759,441,338,45,52,969
29,0.5,443,338,43,56,1003
30,0.517241,445,342,29,55,958
31,0.534483,446,346,30,55,940
32,0.551724,449,350,28,54,990
33,0.568966,451,352,29,55,954
34,0.586207,454,362,26,48,894
35,0.603448,454,364,27,51,942
36,0.62069,454,366,27,50,870
37,0.637931,454,369,26,49,830
38,0.655172,454,371,26,51,781
39,0.672414,454,374,28,50,800
40,0.689655,451,394,45,34,801
41,0.706897,455,396,38,36,716
42,0.724138,455,399,29,35,621
43,0.741379,455,411,25,23,480
44,0.758621,455,402,31,36,680
45,0.775862,449,401,34,41,791
46,0.793103,447,393,37,52,1009
47,0.810345,449,395,34,55,1061
48,0.827586,457,414,27,38,702
49,0.844828,456,416,26,42,769
50,0.862069,449,412,32,54,1168
51,0.87931,452,415,38,59,1288
52,0.896552,451,420,39,54,1291
53,0.913793,451,424,34,52,1210
54,0.931034,452,430,35,52,1294
55,0.948276,452,433,33,52,1274
56,0.965517,450,437,37,53,1298
57,0.982759,450,439,35,55,1331
58,1.0,451,444,35,54,1266
59,1.017241,452,446,33,54,1267
60,1.034483,453,449,32,60,1358
61,1.051724,457,454,41,59,1426
62,1.068966,456,457,37,58,1397
63,1.086207,456,460,38,60,1535
64,1.103448,460,464,37,62,1506
65,1.12069,459,468,36,61,1482
66,1.137931,457,473,37,62,1523
67,1.155172,459,480,36,61,1474
68,1.172414,461,483,34,60,1397
69,1.189655,462,486,40,60,1437
70,1.206897,462,492,44,62,1558
71,1.224138,462,496,36,61,1439
72,1.241379,462,500,36,59,1374
73,1.258621,464,504,35,59,1418
74,1.275862,465,508,38,60,1475
75,1.293103,466,513,35,57,1368
76,1.310345,466,517,35,58,1369
77,1.327586,468,520,34,58,1330
78,1.344828,468,523,33,57,1293
79,1.362069,468,524,32,59,1296
80,1.37931,470,529,41,59,1393
81,1.396552,469,532,43,60,1368
82,1.413793,470,533,36,58,1301
83,1.431034,469,535,35,58,1283
84,1.448276,468,535,37,57,1268
85,1.465517,468,537,37,57,1261
86,1.482759,468,538,36,54,1213
87,1.5,468,538,36,54,1151
88,1.517241,468,537,41,57,1129
89,1.534483,468,539,36,53,1033
90,1.551724,468,550,37,42,903
91,1.568966,470,541,39,51,902
92,1.586207,470,558,34,36,667
93,1.603448,470,558,34,34,598
94,1.62069,467,558,50,39,819
95,1.637931,467,558,31,39,566
96,1.655172,467,557,31,38,554
97,1.672414,473,574,23,21,329
98,1.689655,473,578,22,19,277
99,1.706897,465,558,15,36,322
100,1.724138,462,556,20,37,520
101,1.741379,459,552,23,41,686
102,1.758621,455,550,26,42,781
103,1.775862,447,546,33,44,913
104,1.793103,446,545,35,46,985
105,1.810345,442,543,41,49,1128
106,1.827586,438,544,44,49,1242
107,1.844828,436,545,45,49,1294
108,1.862069,434,544,47,50,1350
109,1.87931,432,544,48,50,1411
110,1.896552,430,543,48,51,1440
111,1.913793,427,543,49,51,1468
112,1.931034,422,544,51,51,1535
113,1.948276,419,545,52,49,1517
114,1.965517,414,546,52,50,1528
115,1.982759,407,549,57,48,1578
116,2.0,396,551,62,48,1623
117,2.017241,394,551,62,48,1658
118,2.034483,395,553,60,46,1608
119,2.051724,392,553,58,47,1555
120,2.068966,393,554,56,46,1504
121,2.086207,392,556,54,46,1473
122,2.103448,392,556,53,45,1437
123,2.12069,392,558,53,46,1450
124,2.137931,391,558,53,47,1449
125,2.155172,390,559,52,45,1425
126,2.172414,383,560,59,45,1530
127,2.189655,381,559,58,47,1536
128,2.206897,379,561,59,48,1552
129,2.224138,378,562,59,48,1593
130,2.241379,377,565,57,45,1529
131,2.258621,377,565,57,45,1531
132,2.275862,377,565,57,47,1532
133,2.293103,377,566,57,47,1523
134,2.310345,377,567,55,46,1474
135,2.327586,378,566,56,47,1508
136,2.344828,379,567,55,46,1502
137,2.362069,377,566,57,47,1531
138,2.37931,376,565,58,48,1581
139,2.396552,375,566,59,50,1611
140,2.413793,376,565,58,51,1612
141,2.431034,375,565,59,50,1596
142,2.448276,376,565,57,50,1556
143,2.465517,375,565,57,50,1548
144,2.482759,375,565,56,50,1487
145,2.5,375,567,55,48,1393
146,2.517241,375,565,54,51,1312
147,2.534483,377,566,52,50,1331
148,2.551724,376,566,52,49,1235
149,2.568966,378,566,49,51,1044
150,2.586207,378,568,45,49,1033
151,2.603448,377,580,43,38,843
152,2.62069,378,580,44,38,882
153,2.637931,379,581,47,37,913
154,2.655172,379,571,42,47,965
155,2.672414,379,571,47,46,1001
156,2.689655,380,571,49,46,1035
157,2.706897,384,574,45,43,943
158,2.724138,383,574,46,44,985
159,2.741379,383,578,45,40,902
160,2.758621,381,576,45,42,909
161,2.775862,383,579,43,42,900
162,2.793103,382,592,43,31,772
163,2.810345,381,583,44,42,1027
164,2.827586,379,590,43,36,877
165,2.844828,374,578,48,49,1161
166,2.862069,368,579,53,50,1197
167,2.87931,369,582,51,47,1173
168,2.896552,367,593,50,39,1041
169,2.913793,367,593,48,40,1037
170,2.931034,367,593,48,41,1021
171,2.948276,366,594,48,42,1083
172,2.965517,364,595,49,42,1106
173,2.982759,363,604,47,36,1014
174,3.0,361,604,48,36,1043
175,3.017241,358,594,45,48,1137
176,3.034483,355,593,47,49,1244
177,3.051724,347,595,51,50,1371
178,3.068966,343,599,53,47,1316
179,3.086207,342,602,52,46,1310
180,3.103448,338,603,54,45,1344
181,3.12069,339,604,50,45,1312
182,3.137931,338,603,48,46,1311
183,3.155172,338,604,46,46,1300
184,3.172414,338,606,44,48,1294
185,3.189655,334,607,44,50,1331
186,3.206897,328,610,47,48,1369
187,3.224138,323,611,47,47,1346
188,3.241379,318,613,52,47,1390
189,3.258621,311,614,56,48,1454
190,3.275862,311,616,54,48,1446
191,3.293103,311,618,51,48,1434
192,3.310345,309,621,52,47,1408
193,3.327586,311,623,47,47,1348
194,3.344828,312,624,46,47,1340
195,3.362069,313,624,45,48,1326
196,3.37931,315,626,44,48,1318
197,3.396552,317,626,41,51,1305
198,3.413793,318,627,40,51,1334
199,3.431034,320,628,34,54,1266
200,3.448276,320,630,34,54,1221
201,3.465517,324,631,32,56,1232
202,3.482759,319,633,38,55,1336
203,3.5,326,635,32,55,1246
204,3.517241,328,638,31,52,1174
205,3.534483,329,639,30,54,1147
206,3.551724,329,642,31,52,1044
207,3.568966,334,645,28,51,1011
208,3.586207,330,646,32,52,1047
209,3.603448,331,646,31,53,1077
210,3.62069,330,649,33,52,1096
211,3.637931,331,650,32,53,1076
212,3.655172,331,652,32,54,1101
213,3.672414,332,654,33,53,1123
214,3.689655,334,654,31,55,1111
215,3.706897,334,654,32,55,1122
216,3.724138,334,654,34,55,1139
217,3.741379,334,654,36,55,1149
218,3.758621,334,654,36,55,1132
219,3.775862,334,654,36,55,1139
220,3.793103,334,654,34,55,1114
221,3.810345,334,653,36,56,1163
222,3.827586,334,655,36,54,1155
223,3.844828,334,655,36,54,1145
224,3.862069,334,654,36,55,1160
225,3.87931,334,654,36,55,1173
226,3.896552,334,654,36,55,1150
227,3.913793,334,654,36,55,1171
228,3.931034,334,655,36,54,1150
229,3.948276,334,654,36,55,1148
230,3.965517,334,654,36,55,1168
231,3.982759,334,655,35,54,1142
232,4.0,334,656,36,53,1145
233,4.017241,336,654,37,55,1201
234,4.034483,338,654,42,56,1279
235,4.051724,338,653,43,57,1322
236,4.068966,338,654,45,57,1441
237,4.086207,340,656,48,57,1482
238,4.103448,342,657,49,57,1518
239,4.12069,343,659,51,55,1548
240,4.137931,343,662,54,52,1543
241,4.155172,342,662,56,52,1562
242,4.172414,343,662,57,52,1572
243,4.189655,346,664,58,50,1590
244,4.206897,347,664,61,50,1614
245,4.224138,350,664,59,50,1592
246,4.241379,353,665,57,49,1563
247,4.258621,353,666,59,49,1572
248,4.275862,355,668,58,46,1531
249,4.293103,356,666,57,48,1513
250,4.310345,358,667,59,47,1548
251,4.327586,361,670,58,47,1569
252,4.344828,362,670,59,48,1551
253,4.362069,366,670,58,49,1568
254,4.37931,367,671,59,48,1578
255,4.396552,369,673,59,47,1560
256,4.413793,370,675,60,46,1563
257,4.431034,371,675,61,46,1606
258,4.448276,374,675,60,46,1578
259,4.465517,374,675,63,47,1651
260,4.482759,377,675,61,47,1638
261,4.5,377,675,63,46,1630
262,4.517241,379,677,63,45,1603
263,4.534483,382,678,63,43,1626
264,4.551724,382,678,66,41,1672
265,4.568966,384,678,67,36,1755
266,4.586207,387,678,68,34,1776
267,4.603448,370,677,86,33,1883
268,4.62069,372,675,86,31,1946
269,4.637931,374,671,86,35,1967
270,4.655172,378,669,83,35,1886
271,4.672414,382,666,80,38,1908
272,4.689655,385,664,77,38,1831
273,4.706897,395,660,66,40,1742
274,4.724138,387,655,74,44,1859
275,4.741379,394,651,68,49,1922
276,4.758621,390,649,74,57,2192
277,4.775862,392,646,74,57,2266
278,4.793103,398,641,71,57,2076
279,4.810345,403,639,67,51,1951
280,4.827586,404,636,68,53,1960
281,4.844828,406,635,68,51,1940
282,4.862069,409,634,67,51,1934
283,4.87931,414,634,65,50,1854
284,4.896552,419,633,61,52,1807
285,4.913793,419,631,63,54,1911
286,4.931034,422,629,63,57,1899
287,4.948276,425,626,60,56,1880
288,4.965517,428,625,60,49,1808
289,4.982759,426,622,64,52,1868
290,5.0,426,620,67,54,1937
291,5.017241,426,616,68,58,1999
292,5.034483,429,614,68,52,1959
293,5.051724,432,609,67,61,2105
294,5.068966,432,606,69,66,2158
295,5.086207,440,599,64,72,2234
296,5.103448,450,593,56,77,2275
297,5.12069,452,590,55,78,2251
298,5.137931,456,585,50,81,2365
299,5.155172,458,580,47,83,2392
300,5.172414,460,576,46,82,2393
301,5.189655,462,572,44,82,2398
302,5.206897,462,568,47,82,2349
303,5.224138,462,565,45,82,2303
304,5.241379,465,561,43,81,2360
305,5.258621,467,558,43,82,2319
306,5.275862,467,555,43,82,2371
307,5.293103,467,552,44,82,2417
308,5.310345,467,550,44,83,2386
309,5.327586,465,548,46,82,2389
310,5.344828,465,545,46,83,2396
311,5.362069,465,543,47,83,2370
312,5.37931,467,540,46,82,2422
313,5.396552,473,535,41,83,2382
314,5.413793,475,532,43,82,2317
315,5.431034,478,529,46,81,2340
316,5.448276,482,526,47,81,2323
317,5.465517,482,524,48,81,2347
318,5.482759,484,520,48,82,2430
319,5.5,486,516,47,82,2444
320,5.517241,486,513,47,83,2442
321,5.534483,486,508,48,84,2478
322,5.551724,490,503,47,83,2463
323,5.568966,494,499,43,83,2446
324,5.586207,496,494,46,84,2437
325,5.603448,499,489,48,84,2537
326,5.62069,502,486,47,84,2506
327,5.637931,504,481,48,84,2496
328,5.655172,505,476,47,84,2479
329,5.672414,506,472,45,83,2406
330,5.689655,508,467,46,83,2482
331,5.706897,510,462,44,84,2485
